tweet_id,likes,retweets
813066809284972545,7501,1819
813051746834595840,19816,6805
812781120811126785,7115,1778
812709060537683968,6253,1344
812503143955202048,5706,1143
812466873996607488,7529,1791
812372279581671427,12852,3396
811985624773361665,6871,1303
811744202451197953,7114,1461
811647686436880384,5292,678
811627233043480576,11990,2825
811386762094317568,19728,5934
810984652412424192,5015,1321
810896069567610880,8476,1632
810657578271330305,10363,2448
810284430598270976,33080,10433
810254108431155201,13887,3141
809920764300447744,14699,3658
809808892968534016,0,4545
809448704142938112,6578,1358
809220051211603969,18759,5214
809084759137812480,12484,3272
808838249661788160,9600,2846
808733504066486276,7447,2024
808501579447930884,10689,2441
808344865868283904,39908,19296
808134635716833280,0,5476
808106460588765185,8347,2047
808001312164028416,11778,3283
807621403335917568,13769,3361
807106840509214720,110771,51252
807059379405148160,0,6839
807010152071229440,12385,3605
806629075125202948,70097,32140
806620845233815552,0,5113
806576416489959424,4643,1817
806542213899489280,9683,2205
806242860592926720,0,10793
806219024703037440,6103,1124
805958939288408065,0,4971
805932879469572096,7854,1791
805826884734976000,6201,1708
805823200554876929,0,7407
805520635690676224,5442,1544
805487436403003392,8295,2360
805207613751304193,7436,1618
804738756058218496,12909,3580
804475857670639616,5807,1877
804413760345620481,0,2987
804026241225523202,41804,14927
803773340896923648,9482,2567
803692223237865472,0,6870
803638050916102144,10329,3864
803380650405482500,7348,1757
803321560782307329,0,4927
803276597545603072,9481,2281
802952499103731712,8526,1861
802624713319034886,0,2709
802600418706604034,6725,1373
802572683846291456,8479,2340
802323869084381190,15247,5435
802265048156610565,6574,1285
802239329049477120,8597,2436
802185808107208704,0,249
801958328846974976,7328,1586
801854953262350336,1712,217
801538201127157760,7764,1943
801285448605831168,5701,770
801167903437357056,23033,5476
801127390143516673,0,3682
801115127852503040,7634,1976
800859414831898624,643,89
800855607700029440,0,1508
800751577355128832,10044,2610
800513324630806528,12421,2806
800459316964663297,8994,2044
800443802682937345,0,4001
800388270626521089,10547,2615
800188575492947969,0,3670
800141422401830912,14413,2378
800018252395122689,26695,12220
799774291445383169,0,4338
799757965289017345,7917,1994
799422933579902976,7644,1788
799308762079035393,0,5047
799297110730567681,9338,2543
799063482566066176,7639,2328
798933969379225600,12340,4127
798925684722855936,7125,1351
798705661114773508,0,6164
798701998996647937,0,7181
798697898615730177,0,6049
798694562394996736,0,4610
798686750113755136,0,2166
798682547630837760,0,4404
798673117451325440,0,5193
798665375516884993,0,3658
798644042770751489,0,1733
798628517273620480,0,1855
798585098161549313,0,5232
798576900688019456,0,5446
798340744599797760,0,3123
798209839306514432,9871,2413
797971864723324932,10881,2873
797545162159308800,13797,4594
797236660651966464,18820,6107
797165961484890113,211,24
796904159865868288,0,8297
796865951799083009,7270,1822
796759840936919040,11144,2808
796563435802726400,0,6687
796484825502875648,7142,1642
796387464403357696,10382,3862
796177847564038144,0,13276
796149749086875649,30296,13276
796125600683540480,4712,1677
796116448414461957,8590,2232
796080075804475393,7977,2152
796031486298386433,10213,3481
795464331001561088,46455,21805
795400264262053889,9432,2662
795076730285391872,15257,5063
794983741416415232,0,3135
794926597468000259,9617,2146
794355576146903043,0,9594
794332329137291264,9072,2516
794205286408003585,8719,3098
793962221541933056,15814,4545
793845145112371200,8724,1731
793614319594401792,0,2903
793601777308463104,7528,1508
793500921481273345,10058,2214
793286476301799424,23219,8537
793271401113350145,8209,2231
793256262322548741,18813,7739
793241302385262592,9921,3049
793226087023144960,9225,2694
793210959003287553,8423,2591
793195938047070209,14350,5235
793180763617361921,6516,1848
793165685325201412,8848,2608
793150605191548928,5817,1585
793135492858580992,6039,2334
793120401413079041,11948,3649
792913359805018113,13512,3686
792883833364439040,10648,3976
792773781206999040,6969,1565
792050063153438720,6750,1659
791821351946420224,0,19559
791784077045166082,0,8817
791780927877898241,0,3538
791774931465953280,42450,20606
791672322847637504,11086,2903
791406955684368384,12421,3838
791312159183634433,8278,2352
791026214425268224,0,3778
790987426131050500,9261,1976
790946055508652032,15792,4364
790723298204217344,0,2130
790698755171364864,7772,1790
790581949425475584,19419,6595
790337589677002753,7386,1759
790277117346975746,11818,2936
790227638568808452,0,3283
789986466051088384,8759,2130
789960241177853952,0,3798
789903600034189313,9734,3857
789628658055020548,7050,1628
789599242079838210,6339,1781
789530877013393408,11032,3135
789314372632018944,8156,2121
789280767834746880,0,4555
789268448748703744,8609,2430
789137962068021249,9177,2592
788908386943430656,25900,11638
788765914992902144,25733,9593
788552643979468800,0,6612
788412144018661376,14638,4899
788178268662984705,6849,1963
788150585577050112,5759,1193
788070120937619456,0,3193
788039637453406209,5757,1214
787810552592695296,8110,2820
787717603741622272,9654,2568
787397959788929025,10279,2647
787322443945877504,7348,1617
787111942498508800,0,6256
786963064373534720,25120,7379
786729988674449408,0,2258
786709082849828864,17279,5686
786664955043049472,9988,2353
786595970293370880,8922,2892
786363235746385920,10223,3199
786286427768250368,7525,2626
786233965241827333,14308,4343
786051337297522688,1348,144
786036967502913536,0,6460
785927819176054784,10742,2964
785872687017132033,6307,1661
785639753186217984,7407,2093
785533386513321988,8524,1825
785515384317313025,5754,1153
785264754247995392,6857,1508
785170936622350336,11290,4464
784826020293709826,9530,2987
784517518371221505,8439,2350
784431430411685888,5414,1175
784183165795655680,18827,7407
784057939640352768,27905,10283
783839966405230592,28203,9969
783821107061198850,6930,1815
783695101801398276,9809,2971
783466772167098368,7918,2065
783391753726550016,15893,5056
783347506784731136,0,5113
783334639985389568,27302,10793
783085703974514689,7687,2008
782969140009107456,22683,6839
782747134529531904,7034,1307
782722598790725632,16178,4970
782598640137187329,7349,1762
782305867769217024,15607,5091
782021823840026624,0,5684
781955203444699136,10508,3120
781661882474196992,9813,2502
781655249211752448,3744,1043
781524693396357120,19464,5113
781308096455073793,6698,2368
781251288990355457,7878,1915
781163403222056960,9228,2566
780931614150983680,20375,6687
780858289093574656,6760,1852
780800785462489090,5158,1192
780601303617732608,11356,3107
780543529827336192,5920,1616
